No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    00:01.411      00:01.430      00:04.938      3.508                 Paused by player, Unpause by player / changed option
2    00:16.711      00:20.289      04:32.891      252.602    252.602    Paused by player, Unpause by player
3    02:58.561      07:14.742      07:16.307      1.565      1.565      Paused by player, Unpause by player
4    03:00.311      07:18.061      12:23.038      304.977    304.977    Paused by player, Unpause by player
5    09:26.811      18:49.536      18:49.847      0.311      0.311      Paused by player, Unpause by player
6    10:22.061      19:45.081      19:48.919      3.838      3.838      Paused by player, Unpause by player
7    11:34.511      21:01.355      21:08.665      7.310      7.310      Paused by player, Unpause by player
8    11:34.911      21:09.047      21:17.405      8.358      8.358      Paused by player, Unpause by player
9    11:35.361      21:17.832      21:26.527      8.695      8.695      Paused by player, Unpause by player
1    23:41.561      33:32.712      35:56.181      143.469               Paused by leave the world, Unpause by rendered
2    40:00.222      52:14.766      52:25.070      10.304     10.304     Paused by player, Unpause by player
3    1:03:01.372    1:15:26.222    1:15:26.977    0.755      0.755      Paused by player, Unpause by player
4    1:05:01.722    1:17:27.370    1:18:21.142    53.772     53.772     Paused by player, Unpause by player
5    1:05:25.272    1:18:44.683    1:18:53.111    8.428      8.428      Paused by player, Unpause by player
6    1:05:27.772    1:18:55.562    1:20:36.380    100.818    100.818    Paused by player, Unpause by player
0    1:07:14.172    1:22:22.775    1:25:32.398    189.623               Paused by player, Unpause by rendered
1    1:08:34.985    1:26:53.172    1:26:54.084    0.912                 Paused by changed dimension, Unpause by moved mouse
2    1:11:26.136    1:29:45.237    1:29:45.974    0.737                 Paused by changed dimension, Unpause by rendered
3    1:12:44.903    1:31:04.744    1:31:21.297    16.553     16.553     Paused by player, Unpause by player
4    1:13:16.453    1:31:52.845    1:32:26.665    33.820     33.820     Paused by player, Unpause by player
5    1:13:23.953    1:32:34.200    1:32:36.255    2.055      2.055      Paused by player, Unpause by player
6    1:16:16.453    1:35:28.743    1:35:29.860    1.117      1.117      Paused by player, Unpause by player
7    1:16:26.553    1:35:39.935    1:35:40.024    0.089                 Paused by changed dimension, Unpause by changed look direction
8    1:16:44.605    1:35:58.047    1:35:58.095    0.048                 Paused by changed dimension, Unpause by rendered
9    1:17:02.603    1:36:16.094    1:36:16.895    0.801      0.801      Paused by player, Unpause by player
10   1:17:04.853    1:36:19.133    1:36:19.174    0.041                 Paused by changed dimension, Unpause by changed look direction
11   1:17:30.504    1:36:44.867    1:36:44.933    0.066                 Paused by changed dimension, Unpause by rendered
12   1:19:15.199    1:38:29.645    1:39:42.820    73.175     73.175     Paused by player, Unpause by player
13   1:20:48.549    1:41:16.190    1:41:24.840    8.650      8.650      Paused by player, Unpause by player
14   1:21:12.599    1:41:48.925    1:41:51.527    2.602      2.602      Paused by player, Unpause by player
15   1:23:47.749    1:44:26.704    1:45:12.773    46.069     46.069     Paused by player, Unpause by player
16   1:24:04.399    1:45:29.425    1:48:21.398    171.973    171.973    Paused by player, Unpause by player
17   1:24:30.449    1:48:47.457    1:49:42.300    54.843     54.843     Paused by player, Unpause by player
18   1:26:08.099    1:51:19.949    1:54:39.094    199.145    199.145    Paused by player, Unpause by player
19   1:29:17.149    1:57:48.134    1:58:20.296    32.162     32.162     Paused by player, Unpause by player
20   1:29:30.799    1:58:33.934    1:58:59.381    25.447     25.447     Paused by player, Unpause by player
21   1:29:42.099    1:59:10.690    1:59:10.846    0.156      0.156      Paused by player, Unpause by player
22   1:29:56.899    1:59:25.649    1:59:25.822    0.173      0.173      Paused by player, Unpause by player
23   1:40:41.299    2:10:10.226    2:10:11.080    0.854      0.854      Paused by player, Unpause by player
24   1:41:07.849    2:10:37.580    2:10:41.576    3.996      3.996      Paused by player, Unpause by player
25   1:41:08.099    2:10:41.796    2:10:52.243    10.447     10.447     Paused by player, Unpause by player
0    1:41:40.149    2:11:24.284    2:14:21.497    177.213               Paused by player, Unpause by rendered
1    1:44:29.094    2:17:10.458    2:17:10.728    0.270      0.270      Paused by player, Unpause by player
2    1:46:06.894    2:18:48.515    2:18:53.903    5.388      5.388      Paused by player, Unpause by player
